sid,IEA0,IEA1
12711X,0.76222074,0.6293871
16330F,-1.0714823,0.0726168
20324M,-2.457141,0.85532415
24807A,0.43427414,-0.41996998
15485D,0.9984678,2.7561564
17518C,0.040806707,-0.41245365
15204V,-0.4603656,-0.98209953
16553Z,2.2151678,0.51927966
21727N,-0.15759552,0.78271264
20319T,0.2104756,-0.16818097
25002P,0.25489843,-0.7872084
18753R,0.010094218,-0.6026808
17988N,-1.3073852,-0.28009486
11070G,0.98222333,-0.14792772
15355Q,0.7978972,0.9706551
11103V,0.86346614,-0.0022609918
10086Q,0.2974951,1.1218046
10721Q,1.557904,1.0625979
24774L,-0.8227266,-0.5143601
23653U,0.7639295,-0.9867233
11787Z,-0.98035717,0.69318473
24878X,0.017392982,0.36244884
18793D,1.8707712,0.5113806
18167E,0.4457729,0.024040522
22535J,1.0728368,-0.37440538
25995G,0.10649314,-1.1695524
10294X,0.9870554,-1.8681896
10797X,0.9611885,-0.1509305
13772W,0.097260214,-0.75361013
10737F,-0.2211093,-0.1999824
19461J,-0.24057837,0.32770962
18183C,-3.0673733,0.70984554
21372C,-0.6454808,2.002516
12003W,0.9112976,-0.7276844
15039G,0.1610111,-0.41308388
17768Z,1.2463894,0.05753092
13862X,0.057847273,0.7066478
16678T,-0.21084158,-1.0211048
15404D,-0.93797094,-1.5177705
12977J,-0.6527295,0.07905759
11368F,0.61107117,-1.025979
23513E,-0.25607142,-0.82140636
19628T,-1.5687306,-0.5902549
12880U,-0.61464894,-1.3743203
19022J,-0.33839002,0.6799921
15443N,-2.1116405,-0.4744145
10922A,-1.6758944,-0.8124304
25075Q,0.44232732,0.3198563
10646C,0.45693475,-0.2074405
12330L,-0.88026416,-0.96924174
24274R,-0.23918891,0.4803695
14095L,0.2882592,-1.3659192
22498D,0.04968802,0.40123433
21390E,-0.37076044,0.45408425
13115M,-0.87946427,1.103724
13461F,-1.7364216,-0.69664574
15426N,0.8831214,-0.17436478
13830K,-0.24841423,0.497929
16650X,-0.7590775,1.9258099
16279F,0.2405101,-0.91665363
22470H,-0.55786526,-0.1341672
17908P,0.11185616,0.7911493
10395D,-0.6539155,-0.33521685
13945B,1.6044929,-0.5210943
19557W,0.031314228,2.1766129
21163T,-0.19813527,-1.0039753
15117A,0.91698086,-0.051490624
13898S,-0.9806515,0.44089347
12309U,-0.576288,-0.75189966
15503F,-0.099135995,-0.48184448
22035P,1.3022485,-0.12855843
13704F,2.0325391,-1.2611225
15900P,-0.84155923,1.6236817
20703U,-0.75806665,-1.2075918
15490W,0.2970944,0.075247735
17015C,0.6571582,-0.9252256
10379F,-0.2546086,0.6215298
12741G,-0.12390324,1.0382515
20226M,-0.9765984,0.84074754
16688W,0.9630338,-0.9226018
25323J,0.7929278,1.547498
12771P,0.06590282,0.47464243
12969K,0.63874584,0.96244967
13200D,-0.15401313,0.1706757
20276B,-0.95018923,-1.3876741
12867C,-0.44584885,-0.75422144
17769B,-1.0482099,0.5794053
11805B,0.22322008,1.3269441
19489F,-0.33834463,-0.9025364
24794R,0.23462956,-0.88117063
15811Q,1.9116951,0.7964998
16350L,-0.4083032,0.109554395
19291K,1.4645622,1.1279414
19661R,-2.2457743,-0.4624191
20265W,-1.1150597,-0.7872469
14394V,-0.7099368,-0.86926144
21430Q,1.296327,-0.017011696
14496D,0.5977584,2.3710265
14098R,-0.5196846,3.1750236
20652D,-0.038623974,-1.2376075
13728T,0.0877359,0.17463264
17800V,-0.3084514,0.467602
10394B,0.6436807,1.267129
21198M,-0.054540556,-1.184972
15515M,0.8395287,-0.8001636
14610B,1.3013929,-0.14715126
12973B,0.0069931136,-0.11360171
19883J,-0.15475763,-0.10285302
12817N,-0.45552963,2.5345817
19044T,-1.5237691,-0.1574955
19994S,-0.8718117,0.47582904
18735P,0.36380738,0.7280701
17813E,0.7317135,-0.23872335
11385F,-1.5086844,1.0101742
25147P,1.2444605,-0.6933683
24158P,1.2666953,-2.1983654
16535X,-0.6343359,0.1895264
13226V,-0.34233165,-0.06395358
24871J,-0.24051091,-0.43778175
21920H,0.50190514,-0.65121084
15931A,0.5220125,-0.76334155
20701Q,1.6575629,-0.034044437
10408M,-1.7045782,-1.3000623
21370Y,-0.07331897,0.543305
